Sample	stress	rpkm_sum	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	Group	pH	conc_NaCl	g_L_lactic_acid
C174	pH	362422.5415	C174	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.05	82.8647835	10.10021
C174	temperature	537773.365	C174	Kalamon	Kalamon	Others	Others	Black olives	Natural olives	Natural olives	None	None	240	170 < days ≤ 240	Sparta Gourmet, LAKONIA	4.05	82.8647835	10.10021
O100	bile salt	87275.20853	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	Daniele Mandarello	4.48	49.15	3.79
O100	osmosis	160773.7722	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	Daniele Mandarello	4.48	49.15	3.79
O100	pH	288231.6274	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	Daniele Mandarello	4.48	49.15	3.79
O100	temperature	741847.9651	C144	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	Gas	None	850	365 < days ≤ 850	Daniele Mandarello	4.48	49.15	3.79
O101	bile salt	19782.25992	C145	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	NA	NA	NA	NA
O101	osmosis	174749.6159	C145	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	NA	NA	NA	NA
O101	pH	344948.7372	C145	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	NA	NA	NA	NA
O101	temperature	660922.7609	C145	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	850	365 < days ≤ 850	NA	NA	NA	NA
O102	bile salt	61876.00563	CY5	Ladoelia	Ladoelia	Others	Others	Black olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	5.05	15.0959344	NA
O102	osmosis	85619.48245	CY5	Ladoelia	Ladoelia	Others	Others	Black olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	5.05	15.0959344	NA
O102	pH	299810.5672	CY5	Ladoelia	Ladoelia	Others	Others	Black olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	5.05	15.0959344	NA
O102	temperature	509201.375	CY5	Ladoelia	Ladoelia	Others	Others	Black olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	5.05	15.0959344	NA
O103	bile salt	104215.1003	CP5	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Copar	3.91	43.75321796	5.274945455
O103	osmosis	153517.0733	CP5	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Copar	3.91	43.75321796	5.274945455
O103	pH	322007.6709	CP5	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Copar	3.91	43.75321796	5.274945455
O103	temperature	635145.4213	CP5	Tonda di Cagliari	Tonda di Cagliari	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Copar	3.91	43.75321796	5.274945455
