x	y	r
103	Marinilactibacillus_piezotolerans	ethyl-3-methylbutanoate	-0.372271537340015
104	ethyl-3-methylbutanoate	Marinilactibacillus_piezotolerans	NA
105	Marinilactibacillus_piezotolerans	ethanol	-0.372088778061727
106	ethanol	Marinilactibacillus_piezotolerans	NA
107	Pediococcus_ethanolidurans	1-hexanol	-0.371317987819537
108	1-hexanol	Pediococcus_ethanolidurans	NA
109	Halomonas_hibernica	3-pentanol	-0.371138345260722
110	3-pentanol	Halomonas_hibernica	NA
111	Marinilactibacillus_psychrotolerans	ethylheptanoate	-0.371052836827807
112	ethylheptanoate	Marinilactibacillus_psychrotolerans	NA
113	Leuconostoc_mesenteroides	benzyl alcohol	0.371002777617439
114	benzyl alcohol	Leuconostoc_mesenteroides	NA
115	Paucilactobacillus_vaccinostercus	ethylhexanoate	-0.370416880703012
116	ethylhexanoate	Paucilactobacillus_vaccinostercus	NA
117	Marinilactibacillus_psychrotolerans	1-hexanol	-0.368608400624547
118	1-hexanol	Marinilactibacillus_psychrotolerans	NA
119	Lentilactobacillus_rapi	ethyl-2-methylbutanoate	0.367851934608138
120	ethyl-2-methylbutanoate	Lentilactobacillus_rapi	NA
121	Lentilactobacillus_buchneri	methylpropionate	0.367158354577847
122	methylpropionate	Lentilactobacillus_buchneri	NA
123	Rhodobacteraceae_bacterium	1-butanol	-0.366749057472757
124	1-butanol	Rhodobacteraceae_bacterium	NA
125	Halolactibacillus_alkaliphilus	ethanol	-0.366505735731699
126	ethanol	Halolactibacillus_alkaliphilus	NA
127	Lentilactobacillus_kisonensis	isovaleric acid	0.365593678363477
128	isovaleric acid	Lentilactobacillus_kisonensis	NA
129	Pediococcus_ethanolidurans	ethyl lactate	-0.363828219993354
130	ethyl lactate	Pediococcus_ethanolidurans	NA
131	Ligilactobacillus_acidipiscis	α-farnesene	-0.361782395619845
132	α-farnesene	Ligilactobacillus_acidipiscis	NA
133	Lentilactobacillus_buchneri	ethylbutanoate	0.361558448952829
134	ethylbutanoate	Lentilactobacillus_buchneri	NA
135	Lentilactobacillus_buchneri	acetic acid	0.36099529545157
136	acetic acid	Lentilactobacillus_buchneri	NA
137	Marinilactibacillus_piezotolerans	ethyloctanoate	-0.360959713010402
138	ethyloctanoate	Marinilactibacillus_piezotolerans	NA
139	Pediococcus_ethanolidurans	ethyl-3-methylbutanoate	-0.360313907148207
140	ethyl-3-methylbutanoate	Pediococcus_ethanolidurans	NA
141	Halomonas_titanicae	3-pentanol	-0.358169440944344
142	3-pentanol	Halomonas_titanicae	NA
143	Halolactibacillus_alkaliphilus	ethylhexanoate	-0.356837811064312
144	ethylhexanoate	Halolactibacillus_alkaliphilus	NA
145	Rhodobacteraceae_bacterium	1-nonanol	-0.356616361521541
146	1-nonanol	Rhodobacteraceae_bacterium	NA
147	Shewanella_sp_C32	benzyl alcohol	-0.356302926822042
148	benzyl alcohol	Shewanella_sp_C32	NA
149	Alkalibacterium_olivapovliticus	ethyl-2-methylbutanoate	-0.356244042544002
150	ethyl-2-methylbutanoate	Alkalibacterium_olivapovliticus	NA
151	Leuconostoc_mesenteroides	cis-3-hexenylacetate	0.355706366981067
152	cis-3-hexenylacetate	Leuconostoc_mesenteroides	NA
153	Lentilactobacillus_buchneri	isovaleric acid	0.355237932137945
154	isovaleric acid	Lentilactobacillus_buchneri	NA
155	Lentilactobacillus_buchneri	2-butanone	0.354230245450289
156	2-butanone	Lentilactobacillus_buchneri	NA
157	Halolactibacillus_alkaliphilus	benzyl alcohol	-0.353715051985616
158	benzyl alcohol	Halolactibacillus_alkaliphilus	NA
159	Halolactibacillus_alkaliphilus	1-hexanol	-0.353362081760631
160	1-hexanol	Halolactibacillus_alkaliphilus	NA
161	Lentilactobacillus_kisonensis	ethylhydroxycinnamate	0.35283555049649
162	ethylhydroxycinnamate	Lentilactobacillus_kisonensis	NA
163	Pediococcus_ethanolidurans	2,3-butanediol	-0.352712346146116
164	2,3-butanediol	Pediococcus_ethanolidurans	NA
165	Lentilactobacillus_parafarraginis	2-butanone	0.352251939419671
166	2-butanone	Lentilactobacillus_parafarraginis	NA
167	Alkalibacterium_thalassium	ethylhexanoate	-0.352007757935881
168	ethylhexanoate	Alkalibacterium_thalassium	NA
169	Marinilactibacillus_piezotolerans	1-butanol	-0.35178559609813
170	1-butanol	Marinilactibacillus_piezotolerans	NA
171	Rhodobacteraceae_bacterium	ethyl-2-methylbutanoate	-0.350739365357054
172	ethyl-2-methylbutanoate	Rhodobacteraceae_bacterium	NA
173	Alkalibacterium_thalassium	ethylacetate	-0.350548180317837
174	ethylacetate	Alkalibacterium_thalassium	NA
175	Lentilactobacillus_kisonensis	benzyl alcohol	0.350253490606841
176	benzyl alcohol	Lentilactobacillus_kisonensis	NA
177	Pediococcus_parvulus	propanoic acid	0.349637228506522
178	propanoic acid	Pediococcus_parvulus	NA
179	Marinilactibacillus_psychrotolerans	ethylacetate	-0.349578920217778
180	ethylacetate	Marinilactibacillus_psychrotolerans	NA
181	Alkalibacterium_thalassium	α-farnesene	-0.349289925489017
182	α-farnesene	Alkalibacterium_thalassium	NA
183	Rhodobacteraceae_bacterium	2-methyl-1-propanol	-0.349109392388651
184	2-methyl-1-propanol	Rhodobacteraceae_bacterium	NA
185	Martelella_mediterranea	3-pentanol	-0.34882809334946
186	3-pentanol	Martelella_mediterranea	NA
187	Halolactibacillus_alkaliphilus	1-butanol	-0.348628405588995
188	1-butanol	Halolactibacillus_alkaliphilus	NA
189	Pediococcus_parvulus	p-creosol	0.348495629144904
190	p-creosol	Pediococcus_parvulus	NA
191	Alcanivorax_gelatiniphagus	ethanol	-0.348284435332594
192	ethanol	Alcanivorax_gelatiniphagus	NA
193	Lentilactobacillus_buchneri	propylpropanoate	0.34820460064454
194	propylpropanoate	Lentilactobacillus_buchneri	NA
