x	y	r
450	2-methyl-1-propanol	Marinilactibacillus_piezotolerans	NA
451	Aerococcus_urinaeequi	1-nonanol	-0.309153874537395
452	1-nonanol	Aerococcus_urinaeequi	NA
453	Lentilactobacillus_rapi	ethyl lactate	0.308997160916452
454	ethyl lactate	Lentilactobacillus_rapi	NA
455	Levilactobacillus_senmaizukei	ethanol	-0.308914358970219
456	ethanol	Levilactobacillus_senmaizukei	NA
457	Leuconostoc_mesenteroides	phenol	0.308755837942946
458	phenol	Leuconostoc_mesenteroides	NA
459	Rhodobacteraceae_bacterium	ethylacetate	-0.308735374830392
460	ethylacetate	Rhodobacteraceae_bacterium	NA
461	Pediococcus_parvulus	ethyl lactate	0.308695014847901
462	ethyl lactate	Pediococcus_parvulus	NA
463	Terasakiispira_papahanaumokuakeensis	α-farnesene	-0.308380669218976
464	α-farnesene	Terasakiispira_papahanaumokuakeensis	NA
465	Aerococcus_urinaeequi	acetic acid	-0.308210153438175
466	acetic acid	Aerococcus_urinaeequi	NA
467	Alkalibacterium_olivapovliticus	ethanol	-0.307793965484346
468	ethanol	Alkalibacterium_olivapovliticus	NA
469	Idiomarina_loihiensis	isoamylalcohol	-0.307762427456489
470	isoamylalcohol	Idiomarina_loihiensis	NA
471	Lentilactobacillus_kisonensis	α-farnesene	0.307582683204819
472	α-farnesene	Lentilactobacillus_kisonensis	NA
473	Levilactobacillus_senmaizukei	1-hexanol	-0.307441834836197
474	1-hexanol	Levilactobacillus_senmaizukei	NA
475	Zunongwangia_profunda	ethylcinnamate	-0.307218088411124
476	ethylcinnamate	Zunongwangia_profunda	NA
477	Salinicola_salarius	α-farnesene	-0.306800941526819
478	α-farnesene	Salinicola_salarius	NA
479	Halomonas_boliviensis	isoamylalcohol	-0.306681140956644
480	isoamylalcohol	Halomonas_boliviensis	NA
481	Alkalibacterium_pelagium	ethyloctanoate	-0.306472108407222
482	ethyloctanoate	Alkalibacterium_pelagium	NA
483	Paucilactobacillus_vaccinostercus	isoamylalcohol	-0.306127699155053
484	isoamylalcohol	Paucilactobacillus_vaccinostercus	NA
485	Halolactibacillus_alkaliphilus	1-nonanol	-0.305334822164614
486	1-nonanol	Halolactibacillus_alkaliphilus	NA
487	Salinicola_salarius	isoamylalcohol	-0.305072802433065
488	isoamylalcohol	Salinicola_salarius	NA
489	Marinilactibacillus_piezotolerans	acetic acid	-0.305029075270024
490	acetic acid	Marinilactibacillus_piezotolerans	NA
491	Halomonas_alkaliphila	ethanol	-0.303986074775108
492	ethanol	Halomonas_alkaliphila	NA
493	Salinicola_salarius	ethylhexanoate	-0.303965794843868
494	ethylhexanoate	Salinicola_salarius	NA
495	Levilactobacillus_namurensis	1-hexanol	-0.30392050557905
496	1-hexanol	Levilactobacillus_namurensis	NA
497	Halolactibacillus_alkaliphilus	trans-2-hepten-1-ol	-0.30331054128862
498	trans-2-hepten-1-ol	Halolactibacillus_alkaliphilus	NA
499	Leuconostoc_mesenteroides	1-hexanol	0.302924768186869
500	1-hexanol	Leuconostoc_mesenteroides	NA
501	Zunongwangia_profunda	ethylhexanoate	-0.302889516274501
502	ethylhexanoate	Zunongwangia_profunda	NA
503	Halomonas_hibernica	1-hexanol	-0.302371669609374
504	1-hexanol	Halomonas_hibernica	NA
505	Paucilactobacillus_suebicus	benzyl alcohol	-0.302352397384978
506	benzyl alcohol	Paucilactobacillus_suebicus	NA
507	Marinilactibacillus_psychrotolerans	cis-3-hexenylacetate	-0.302318729479129
508	cis-3-hexenylacetate	Marinilactibacillus_psychrotolerans	NA
509	Terasakiispira_papahanaumokuakeensis	ethylheptanoate	-0.30171484830797
510	ethylheptanoate	Terasakiispira_papahanaumokuakeensis	NA
511	Methylophaga_sulfidovorans	α-farnesene	-0.30167450877144
512	α-farnesene	Methylophaga_sulfidovorans	NA
513	Leuconostoc_mesenteroides	ethyloctanoate	0.301551659192217
514	ethyloctanoate	Leuconostoc_mesenteroides	NA
515	Alkalibacterium_olivapovliticus	ethylacetate	-0.301505721508439
516	ethylacetate	Alkalibacterium_olivapovliticus	NA
517	Lentilactobacillus_rapi	2-butanone	0.301425641980505
518	2-butanone	Lentilactobacillus_rapi	NA
519	Agrobacterium_tomkonis	ethanol	-0.301322020869102
520	ethanol	Agrobacterium_tomkonis	NA
521	Halolactibacillus_alkaliphilus	α-farnesene	-0.301131131312486
522	α-farnesene	Halolactibacillus_alkaliphilus	NA
523	Rhodobacteraceae_bacterium	2-pentanol	-0.30107079510799
524	2-pentanol	Rhodobacteraceae_bacterium	NA
525	Halolactibacillus_alkaliphilus	ethylacetate	-0.300691745137381
526	ethylacetate	Halolactibacillus_alkaliphilus	NA
527	Alkalibacterium_olivapovliticus	benzyl alcohol	-0.300607986547081
528	benzyl alcohol	Alkalibacterium_olivapovliticus	NA
529	Aerococcus_urinaeequi	isoamylacetate	-0.299915817327397
530	isoamylacetate	Aerococcus_urinaeequi	NA
531	Secundilactobacillus_collinoides	propanoic acid	0.299875967066688
532	propanoic acid	Secundilactobacillus_collinoides	NA
533	Zunongwangia_profunda	1-hexanol	-0.299764782374016
534	1-hexanol	Zunongwangia_profunda	NA
535	Secundilactobacillus_collinoides	acetic acid	0.299703838673878
536	acetic acid	Secundilactobacillus_collinoides	NA
537	Levilactobacillus_namurensis	isoamylalcohol	-0.299620491087907
538	isoamylalcohol	Levilactobacillus_namurensis	NA
539	Halomonas_titanicae	isoamylalcohol	-0.2994019546352
540	isoamylalcohol	Halomonas_titanicae	NA
541	Halomonas_hibernica	ethylhexanoate	-0.299253065651875
542	ethylhexanoate	Halomonas_hibernica	NA
543	Marinilactibacillus_psychrotolerans	2,3-butanediol	-0.298663681321637
544	2,3-butanediol	Marinilactibacillus_psychrotolerans	NA
545	Ligilactobacillus_acidipiscis	ethanol	-0.298354269761339
546	ethanol	Ligilactobacillus_acidipiscis	NA
547	Halolactibacillus_alkaliphilus	isoamylacetate	-0.298341512189083
548	isoamylacetate	Halolactibacillus_alkaliphilus	NA
549	Zunongwangia_profunda	octanal	-0.297720200825393
550	octanal	Zunongwangia_profunda	NA
551	Lentilactobacillus_parafarraginis	4-methoxyphenol	0.297517141825817
552	4-methoxyphenol	Lentilactobacillus_parafarraginis	NA
553	Salinicola_salarius	octanal	-0.297323696090559
554	octanal	Salinicola_salarius	NA
555	Paucilactobacillus_vaccinostercus	1-nonanol	-0.29718547975289
556	1-nonanol	Paucilactobacillus_vaccinostercus	NA
557	Halomonas_zhanjiangensis	ethanol	-0.296770702125874
558	ethanol	Halomonas_zhanjiangensis	NA
559	Alkalibacterium_thalassium	cis-3-hexenylacetate	-0.296717810004071
560	cis-3-hexenylacetate	Alkalibacterium_thalassium	NA
561	Paucilactobacillus_vaccinostercus	ethylphenol	0.296678134001708
562	ethylphenol	Paucilactobacillus_vaccinostercus	NA
563	Alkalibacterium_thalassium	ethylhydroxycinnamate	-0.296568857543199
564	ethylhydroxycinnamate	Alkalibacterium_thalassium	NA
565	Rhodobacteraceae_bacterium	isoamylacetate	-0.296518086408387
566	isoamylacetate	Rhodobacteraceae_bacterium	NA
567	Shewanella_dokdonensis	3-pentanol	-0.295751583944036
568	3-pentanol	Shewanella_dokdonensis	NA
569	Halolactibacillus_alkaliphilus	ethylheptanoate	-0.295492335256835
570	ethylheptanoate	Halolactibacillus_alkaliphilus	NA
571	Paucilactobacillus_wasatchensis	2-butanol	0.295472671540776
572	2-butanol	Paucilactobacillus_wasatchensis	NA
573	Rhodobacteraceae_bacterium	ethyloctanoate	-0.295324368312053
574	ethyloctanoate	Rhodobacteraceae_bacterium	NA
575	Levilactobacillus_namurensis	ethylhexanoate	-0.295250512326817
576	ethylhexanoate	Levilactobacillus_namurensis	NA
577	Marinilactibacillus_psychrotolerans	2-pentanol	-0.294661684576437
578	2-pentanol	Marinilactibacillus_psychrotolerans	NA
579	Mesonia_oceanica	isoamylalcohol	-0.294589279146582
580	isoamylalcohol	Mesonia_oceanica	NA
581	Marinilactibacillus_psychrotolerans	ethyl-2-methylbutanoate	-0.294508225908783
582	ethyl-2-methylbutanoate	Marinilactibacillus_psychrotolerans	NA
583	Levilactobacillus_namurensis	3-pentanol	-0.294418380238503
584	3-pentanol	Levilactobacillus_namurensis	NA
585	Achromobacter_mucicolens	ethylbutanoate	0.294286498914509
586	ethylbutanoate	Achromobacter_mucicolens	NA
587	Martelella_mediterranea	ethylhexanoate	-0.294137188064753
588	ethylhexanoate	Martelella_mediterranea	NA
589	Zunongwangia_profunda	α-farnesene	-0.293962256311334
590	α-farnesene	Zunongwangia_profunda	NA
591	Ancrocorticia_populi	1-hexanol	-0.293880255157813
592	1-hexanol	Ancrocorticia_populi	NA
593	Lentilactobacillus_rapi	isobutyric acid	0.293698726051528
594	isobutyric acid	Lentilactobacillus_rapi	NA
595	Shewanella_sp_C32	ethylhexanoate	-0.293545885286289
596	ethylhexanoate	Shewanella_sp_C32	NA
597	Marinilactibacillus_piezotolerans	2-phenylethanol	-0.293501187483292
598	2-phenylethanol	Marinilactibacillus_piezotolerans	NA
599	Alkalibacterium_thalassium	2-phenylethanol	-0.293463066761283
600	2-phenylethanol	Alkalibacterium_thalassium	NA
601	Altericroceibacterium_indicum	ethyloctanoate	-0.293332337399608
602	ethyloctanoate	Altericroceibacterium_indicum	NA
603	Altericroceibacterium_indicum	ethyl-2-methylbutanoate	-0.293207959350295
604	ethyl-2-methylbutanoate	Altericroceibacterium_indicum	NA
605	actinobacterium_LLX17	2,3-butanediol	-0.293053254572439
606	2,3-butanediol	actinobacterium_LLX17	NA
607	Halolactibacillus_alkaliphilus	3-pentanol	-0.292905563841513
608	3-pentanol	Halolactibacillus_alkaliphilus	NA
609	Haloquadratum_walsbyi	methylpropionate	-0.292892487344325
610	methylpropionate	Haloquadratum_walsbyi	NA
611	Paucilactobacillus_vaccinostercus	ethanol	-0.292884679231347
612	ethanol	Paucilactobacillus_vaccinostercus	NA
613	Candida_boidinii_group_2	methylpropionate	-0.292788824148475
614	methylpropionate	Candida_boidinii_group_2	NA
615	Lelliottia_amnigena	1-hexanol	0.292621801863918
616	1-hexanol	Lelliottia_amnigena	NA
617	Alkalibacterium_thalassium	isoamylalcohol	-0.292175478482484
618	isoamylalcohol	Alkalibacterium_thalassium	NA
619	Lentilactobacillus_parafarraginis	ethyl lactate	0.291906413627836
620	ethyl lactate	Lentilactobacillus_parafarraginis	NA
621	Leuconostoc_mesenteroides	ethanol	0.291838174855984
622	ethanol	Leuconostoc_mesenteroides	NA
623	Levilactobacillus_brevis	2-methyl-1-propanol	-0.29176352793721
624	2-methyl-1-propanol	Levilactobacillus_brevis	NA
625	Aerococcus_urinaeequi	ethylacetate	-0.291729812534857
626	ethylacetate	Aerococcus_urinaeequi	NA
627	Pediococcus_ethanolidurans	ethylheptanoate	-0.29148870105889
628	ethylheptanoate	Pediococcus_ethanolidurans	NA
629	Altericroceibacterium_indicum	ethylphenol	0.291435934010406
630	ethylphenol	Altericroceibacterium_indicum	NA
631	Aerococcus_urinaeequi	ethanol	-0.291375396601452
632	ethanol	Aerococcus_urinaeequi	NA
633	Halomonas_hibernica	ethanol	-0.291320055450078
634	ethanol	Halomonas_hibernica	NA
635	Shewanella_sp_C32	ethylphenol	0.291056117414218
636	ethylphenol	Shewanella_sp_C32	NA
637	Shewanella_sp_C32	isoamylalcohol	-0.290730881804212
638	isoamylalcohol	Shewanella_sp_C32	NA
639	Aerococcus_urinaeequi	2-phenylethanol	-0.290618670689588
640	2-phenylethanol	Aerococcus_urinaeequi	NA
641	Alkalibacterium_thalassium	benzyl alcohol	-0.290447401541626
642	benzyl alcohol	Alkalibacterium_thalassium	NA
643	Aerococcus_urinaeequi	propanoic acid	-0.290417329987105
644	propanoic acid	Aerococcus_urinaeequi	NA
645	Weissella_soli	ethyl lactate	0.29024878346595
646	ethyl lactate	Weissella_soli	NA
647	Zunongwangia_profunda	ethyl-2-methylbutanoate	-0.289868620340437
648	ethyl-2-methylbutanoate	Zunongwangia_profunda	NA
649	Halomonas_titanicae	ethanol	-0.289866464199302
650	ethanol	Halomonas_titanicae	NA
651	Marinilactibacillus_piezotolerans	ethyl-2-methylbutanoate	-0.289849630828672
652	ethyl-2-methylbutanoate	Marinilactibacillus_piezotolerans	NA
653	Achromobacter_mucicolens	1-propanol	0.289671147779818
654	1-propanol	Achromobacter_mucicolens	NA
655	Halolactibacillus_alkaliphilus	2,3-butanediol	-0.289517851516454
656	2,3-butanediol	Halolactibacillus_alkaliphilus	NA
657	Ligilactobacillus_acidipiscis	1-nonanol	-0.289245048635992
658	1-nonanol	Ligilactobacillus_acidipiscis	NA
659	Lentilactobacillus_parafarraginis	ethylhydroxycinnamate	0.289227332825221
660	ethylhydroxycinnamate	Lentilactobacillus_parafarraginis	NA
661	Alkalibacterium_pelagium	ethylhydroxycinnamate	-0.28870563257843
662	ethylhydroxycinnamate	Alkalibacterium_pelagium	NA
663	Levilactobacillus_senmaizukei	ethyl-3-methylbutanoate	-0.28830423352388
664	ethyl-3-methylbutanoate	Levilactobacillus_senmaizukei	NA
665	Alkalibacterium_pelagium	ethyl-3-methylbutanoate	-0.287858041795316
666	ethyl-3-methylbutanoate	Alkalibacterium_pelagium	NA
667	Alkalibacterium_olivapovliticus	1-hexanol	-0.287789643057731
668	1-hexanol	Alkalibacterium_olivapovliticus	NA
669	Levilactobacillus_senmaizukei	3-pentanol	-0.287688798797796
670	3-pentanol	Levilactobacillus_senmaizukei	NA
671	Achromobacter_mucicolens	ethyl-3-methylbutanoate	0.287415972423491
672	ethyl-3-methylbutanoate	Achromobacter_mucicolens	NA
673	Lentilactobacillus_kisonensis	methylacetate	0.286440811965431
674	methylacetate	Lentilactobacillus_kisonensis	NA
675	Shewanella_sp_C32	α-farnesene	-0.286337842591109
676	α-farnesene	Shewanella_sp_C32	NA
677	Halomonas_boliviensis	3-pentanol	-0.285716099163179
678	3-pentanol	Halomonas_boliviensis	NA
679	Levilactobacillus_namurensis	α-farnesene	-0.285645838603309
680	α-farnesene	Levilactobacillus_namurensis	NA
681	Lelliottia_amnigena	2-butanone	0.285235854715307
682	2-butanone	Lelliottia_amnigena	NA
683	Alkalibacterium_pelagium	2-methyl-1-propanol	-0.285091421498239
684	2-methyl-1-propanol	Alkalibacterium_pelagium	NA
685	Halomonas_zhanjiangensis	ethylacetate	-0.284618306846087
686	ethylacetate	Halomonas_zhanjiangensis	NA
687	Leifsonia_aquatica	ethanol	-0.284519105136587
688	ethanol	Leifsonia_aquatica	NA
689	Lentilactobacillus_kisonensis	2-phenylethanol	0.284304876236992
690	2-phenylethanol	Lentilactobacillus_kisonensis	NA
691	Ligilactobacillus_acidipiscis	ethyl lactate	-0.284214162589503
692	ethyl lactate	Ligilactobacillus_acidipiscis	NA
693	Altericroceibacterium_endophyticum	ethanol	-0.284148359300492
694	ethanol	Altericroceibacterium_endophyticum	NA
695	Leuconostoc_mesenteroides	2-butanone	0.28409052319353
696	2-butanone	Leuconostoc_mesenteroides	NA
697	Salinicola_lusitanus	ethylheptanoate	-0.284059824998012
698	ethylheptanoate	Salinicola_lusitanus	NA
699	Alkalibacterium_olivapovliticus	ethylhexanoate	-0.2840576577214
700	ethylhexanoate	Alkalibacterium_olivapovliticus	NA
701	Zunongwangia_profunda	hexanal	-0.284051256192701
702	hexanal	Zunongwangia_profunda	NA
703	Mesonia_oceanica	ethanol	-0.284036396006336
704	ethanol	Mesonia_oceanica	NA
705	Zunongwangia_profunda	ethyloctanoate	-0.283989553273903
706	ethyloctanoate	Zunongwangia_profunda	NA
707	Martelella_mediterranea	2-methyl-1-propanol	-0.283694162211277
708	2-methyl-1-propanol	Martelella_mediterranea	NA
709	Alkalibacterium_pelagium	2-phenylethanol	-0.283532051785792
710	2-phenylethanol	Alkalibacterium_pelagium	NA
711	Achromobacter_mucicolens	2,3-butanediol	0.283409333134818
712	2,3-butanediol	Achromobacter_mucicolens	NA
713	Salinicola_peritrichatus	3-pentanol	-0.283365860090655
714	3-pentanol	Salinicola_peritrichatus	NA
715	Ancrocorticia_populi	2-methyl-1-propanol	-0.283095390933464
716	2-methyl-1-propanol	Ancrocorticia_populi	NA
717	Alkalibacterium_olivapovliticus	2-phenylethanol	-0.283046814974208
718	2-phenylethanol	Alkalibacterium_olivapovliticus	NA
719	Zunongwangia_profunda	benzyl alcohol	-0.283018844520723
720	benzyl alcohol	Zunongwangia_profunda	NA
721	Lelliottia_amnigena	ethylhexanoate	0.28290698130128
722	ethylhexanoate	Lelliottia_amnigena	NA
723	Altericroceibacterium_indicum	3-pentanol	-0.282764105629796
724	3-pentanol	Altericroceibacterium_indicum	NA
725	Terasakiispira_papahanaumokuakeensis	isoamylalcohol	-0.282700466342248
726	isoamylalcohol	Terasakiispira_papahanaumokuakeensis	NA
727	Halomonas_titanicae	2-methyl-1-propanol	-0.282666469965736
728	2-methyl-1-propanol	Halomonas_titanicae	NA
729	Agrobacterium_tomkonis	ethyl-3-methylbutanoate	-0.282098722814624
730	ethyl-3-methylbutanoate	Agrobacterium_tomkonis	NA
731	Alkalibacterium_pelagium	cis-3-hexenylacetate	-0.281863978396682
732	cis-3-hexenylacetate	Alkalibacterium_pelagium	NA
733	Paucilactobacillus_vaccinostercus	ethyl-2-methylbutanoate	-0.281784840970309
734	ethyl-2-methylbutanoate	Paucilactobacillus_vaccinostercus	NA
735	Alkalibacterium_olivapovliticus	2-pentanol	-0.28163685938784
736	2-pentanol	Alkalibacterium_olivapovliticus	NA
737	Halomonas_hibernica	α-farnesene	-0.281468521364431
738	α-farnesene	Halomonas_hibernica	NA
739	Alkalibacterium_thalassium	ethyl-3-methylbutanoate	-0.281320783093522
740	ethyl-3-methylbutanoate	Alkalibacterium_thalassium	NA
741	Lentilactobacillus_parafarraginis	butanoic acid	0.281258987408165
742	butanoic acid	Lentilactobacillus_parafarraginis	NA
743	Levilactobacillus_namurensis	2,3-butanediol	-0.281230916703557
744	2,3-butanediol	Levilactobacillus_namurensis	NA
745	Lentilactobacillus_buchneri	butanoic acid	0.281216563892134
746	butanoic acid	Lentilactobacillus_buchneri	NA
747	Ancrocorticia_populi	isoamylalcohol	-0.281209629789202
748	isoamylalcohol	Ancrocorticia_populi	NA
749	Pediococcus_ethanolidurans	ethylacetate	-0.280944104951343
750	ethylacetate	Pediococcus_ethanolidurans	NA
751	Alkalibacterium_olivapovliticus	ethyl-3-methylbutanoate	-0.280898477213777
752	ethyl-3-methylbutanoate	Alkalibacterium_olivapovliticus	NA
753	Ancrocorticia_populi	ethanol	-0.280886600734476
754	ethanol	Ancrocorticia_populi	NA
755	Martelella_mediterranea	octanal	-0.280808848607303
756	octanal	Martelella_mediterranea	NA
757	Lactiplantibacillus_plajomi	octanal	-0.28025305254812
758	octanal	Lactiplantibacillus_plajomi	NA
759	Pichia_kudriavzevii	ethylhexanoate	-0.280204765478261
760	ethylhexanoate	Pichia_kudriavzevii	NA
761	Halomonas_hibernica	2-methyl-1-propanol	-0.28013472292174
762	2-methyl-1-propanol	Halomonas_hibernica	NA
763	Lentilactobacillus_rapi	benzyl alcohol	0.280081001154812
764	benzyl alcohol	Lentilactobacillus_rapi	NA
765	Actinomyces_SGB33761	isoamylalcohol	-0.280025750275584
766	isoamylalcohol	Actinomyces_SGB33761	NA
767	Pediococcus_ethanolidurans	cis-3-hexenylacetate	-0.279686727880335
768	cis-3-hexenylacetate	Pediococcus_ethanolidurans	NA
769	Pichia_membranifaciens_group_1	ethyl-2-methylbutanoate	0.278768647903915
770	ethyl-2-methylbutanoate	Pichia_membranifaciens_group_1	NA
771	Paucilactobacillus_vaccinostercus	1-hexanol	-0.278758514270146
772	1-hexanol	Paucilactobacillus_vaccinostercus	NA
773	Lelliottia_amnigena	1-butanol	0.278724655734853
774	1-butanol	Lelliottia_amnigena	NA
775	Terasakiispira_papahanaumokuakeensis	benzyl alcohol	-0.278465359117083
776	benzyl alcohol	Terasakiispira_papahanaumokuakeensis	NA
777	Levilactobacillus_namurensis	ethyl lactate	-0.278447681153113
778	ethyl lactate	Levilactobacillus_namurensis	NA
779	Altericroceibacterium_indicum	2-pentanol	-0.278328120708914
780	2-pentanol	Altericroceibacterium_indicum	NA
781	Leuconostoc_suionicum	benzyl alcohol	0.277883197984102
782	benzyl alcohol	Leuconostoc_suionicum	NA
783	Methylophaga_sulfidovorans	ethylheptanoate	-0.277777145074031
784	ethylheptanoate	Methylophaga_sulfidovorans	NA
785	Lentilactobacillus_kisonensis	benzylacetate	0.27769481228397
786	benzylacetate	Lentilactobacillus_kisonensis	NA
787	Zunongwangia_profunda	ethylheptanoate	-0.277601888105138
788	ethylheptanoate	Zunongwangia_profunda	NA
789	Vibrio_sp_H11	ethanol	-0.277394076936273
790	ethanol	Vibrio_sp_H11	NA
791	Ligilactobacillus_acidipiscis	ethylhexanoate	-0.277210086535198
792	ethylhexanoate	Ligilactobacillus_acidipiscis	NA
793	Rhodobacteraceae_bacterium	nonanoic acid	-0.277068914575358
794	nonanoic acid	Rhodobacteraceae_bacterium	NA
795	Pichia_kudriavzevii	isoamylalcohol	-0.277018868970911
796	isoamylalcohol	Pichia_kudriavzevii	NA
797	Halomonas_zhanjiangensis	isoamylalcohol	-0.276952592344427
798	isoamylalcohol	Halomonas_zhanjiangensis	NA
799	Marinilactibacillus_piezotolerans	benzyl alcohol	-0.276593618729419
800	benzyl alcohol	Marinilactibacillus_piezotolerans	NA
801	Lentilactobacillus_kisonensis	1-butanol	0.276338165223936
802	1-butanol	Lentilactobacillus_kisonensis	NA
803	Rhodobacteraceae_bacterium	methylacetate	-0.276123700208421
804	methylacetate	Rhodobacteraceae_bacterium	NA
805	Lelliottia_amnigena	octanoic acid	0.276118256889643
806	octanoic acid	Lelliottia_amnigena	NA
807	Pichia_manshurica	ethylhexanoate	0.276115485829727
808	ethylhexanoate	Pichia_manshurica	NA
809	Marinilactibacillus_piezotolerans	4-methoxyphenol	-0.276060052111665
810	4-methoxyphenol	Marinilactibacillus_piezotolerans	NA
811	Agrobacterium_tomkonis	isoamylalcohol	-0.275668651575627
812	isoamylalcohol	Agrobacterium_tomkonis	NA
813	Halomonas_boliviensis	1-hexanol	-0.275549056332505
814	1-hexanol	Halomonas_boliviensis	NA
815	Achromobacter_mucicolens	cis-3-hexenylacetate	0.275542073357523
816	cis-3-hexenylacetate	Achromobacter_mucicolens	NA
817	Levilactobacillus_brevis	isoamylalcohol	-0.275489233365593
818	isoamylalcohol	Levilactobacillus_brevis	NA
819	Shewanella_sp_C32	2-methyl-1-propanol	-0.275480209160907
820	2-methyl-1-propanol	Shewanella_sp_C32	NA
821	Lentilactobacillus_kisonensis	ethanol	0.275390222328476
822	ethanol	Lentilactobacillus_kisonensis	NA
823	Pediococcus_ethanolidurans	isoamylalcohol	-0.275333840031336
824	isoamylalcohol	Pediococcus_ethanolidurans	NA
825	Alkalibacterium_thalassium	ethyl-2-methylbutanoate	-0.275256321631595
826	ethyl-2-methylbutanoate	Alkalibacterium_thalassium	NA
827	Halomonas_hibernica	isoamylalcohol	-0.274875887680401
828	isoamylalcohol	Halomonas_hibernica	NA
829	Lacticaseibacillus_paracasei	methylpropionate	0.274855030729507
830	methylpropionate	Lacticaseibacillus_paracasei	NA
831	Lactiplantibacillus_pentosus	ethylphenol	0.274810599709987
832	ethylphenol	Lactiplantibacillus_pentosus	NA
833	Leuconostoc_mesenteroides	octanoic acid	0.27462206264219
834	octanoic acid	Leuconostoc_mesenteroides	NA
835	Martelella_mediterranea	α-farnesene	-0.274498957030587
836	α-farnesene	Martelella_mediterranea	NA
837	Alcanivorax_gelatiniphagus	3-pentanol	-0.274045079834938
838	3-pentanol	Alcanivorax_gelatiniphagus	NA
839	Aerococcus_urinaeequi	ethylhexanoate	-0.273952377319005
840	ethylhexanoate	Aerococcus_urinaeequi	NA
841	Pediococcus_parvulus	isovaleric acid	0.273726060068492
842	isovaleric acid	Pediococcus_parvulus	NA
843	Leuconostoc_mesenteroides	ethyl-3-methylbutanoate	0.273287294133061
844	ethyl-3-methylbutanoate	Leuconostoc_mesenteroides	NA
845	Zunongwangia_profunda	ethyl-3-methylbutanoate	-0.273034634594697
846	ethyl-3-methylbutanoate	Zunongwangia_profunda	NA
847	Lelliottia_amnigena	ethyl-3-methylbutanoate	0.272672071159126
848	ethyl-3-methylbutanoate	Lelliottia_amnigena	NA
849	Lelliottia_amnigena	phenol	0.272483469583509
850	phenol	Lelliottia_amnigena	NA
851	Levilactobacillus_senmaizukei	benzyl alcohol	-0.27221434547317
852	benzyl alcohol	Levilactobacillus_senmaizukei	NA
853	Altericroceibacterium_indicum	2-methyl-1-propanol	-0.272017225804566
854	2-methyl-1-propanol	Altericroceibacterium_indicum	NA
855	Terasakiispira_papahanaumokuakeensis	octanal	-0.271849626807252
856	octanal	Terasakiispira_papahanaumokuakeensis	NA
857	Actinomyces_SGB33761	benzyl alcohol	-0.271841274444834
858	benzyl alcohol	Actinomyces_SGB33761	NA
859	Levilactobacillus_namurensis	ethylbutanoate	-0.271823979453796
860	ethylbutanoate	Levilactobacillus_namurensis	NA
861	Secundilactobacillus_collinoides	1-propanol	0.271552227021199
862	1-propanol	Secundilactobacillus_collinoides	NA
863	Weissella_soli	benzyl alcohol	0.271542043786638
864	benzyl alcohol	Weissella_soli	NA
865	Vibrio_sp_H11	3-pentanol	-0.27144718833277
866	3-pentanol	Vibrio_sp_H11	NA
867	Altericroceibacterium_indicum	ethylacetate	-0.271276698585048
868	ethylacetate	Altericroceibacterium_indicum	NA
869	Alkalibacterium_olivapovliticus	ethyl lactate	-0.271273779316577
870	ethyl lactate	Alkalibacterium_olivapovliticus	NA
871	Halolactibacillus_alkaliphilus	ethyl-3-methylbutanoate	-0.271209344815009
872	ethyl-3-methylbutanoate	Halolactibacillus_alkaliphilus	NA
873	Actinomyces_SGB33761	1-nonanol	-0.270875161000913
874	1-nonanol	Actinomyces_SGB33761	NA
875	Martelella_mediterranea	isoamylalcohol	-0.270830071990305
876	isoamylalcohol	Martelella_mediterranea	NA
877	Alkalibacterium_olivapovliticus	hexanal	-0.270745800274151
878	hexanal	Alkalibacterium_olivapovliticus	NA
879	Terasakiispira_papahanaumokuakeensis	2-methyl-1-propanol	-0.270734090074671
880	2-methyl-1-propanol	Terasakiispira_papahanaumokuakeensis	NA
881	Halolactibacillus_alkaliphilus	ethylhydroxycinnamate	-0.270668295869011
882	ethylhydroxycinnamate	Halolactibacillus_alkaliphilus	NA
883	Marinilactibacillus_piezotolerans	ethylhydroxycinnamate	-0.270660574181432
884	ethylhydroxycinnamate	Marinilactibacillus_piezotolerans	NA
885	Pichia_kudriavzevii	1-butanol	-0.270256245753453
886	1-butanol	Pichia_kudriavzevii	NA
887	Shewanella_dokdonensis	ethanol	-0.270113685520975
888	ethanol	Shewanella_dokdonensis	NA
889	Aerococcus_urinaeequi	2-pentanol	-0.270071444438156
890	2-pentanol	Aerococcus_urinaeequi	NA
891	Rhodobacteraceae_bacterium	2-phenylethanol	-0.270022320372362
892	2-phenylethanol	Rhodobacteraceae_bacterium	NA
893	Pseudooceanicola_marinus	3-pentanol	-0.269879727182191
894	3-pentanol	Pseudooceanicola_marinus	NA
895	Rhodobacteraceae_bacterium	ethyl lactate	-0.269809373883395
896	ethyl lactate	Rhodobacteraceae_bacterium	NA
897	Halomonas_alkaliphila	3-pentanol	-0.269783152183096
898	3-pentanol	Halomonas_alkaliphila	NA
899	Aerococcus_urinaeequi	ethyl-3-methylbutanoate	-0.269585510499622
900	ethyl-3-methylbutanoate	Aerococcus_urinaeequi	NA
901	Pediococcus_ethanolidurans	trans-2-hepten-1-ol	-0.269499860577898
902	trans-2-hepten-1-ol	Pediococcus_ethanolidurans	NA
903	Salinibacter_ruber	ethyl-3-methylbutanoate	-0.269311408815447
